Davi Aguilar Nunes Oliveira,1468024@sga.pucminas.br,123.456.789-00,12.345.678-9,Rua dos Guajajaras 885,PUC Minas Lourdes,Engenharia de Software,100,123
Maria Oliveira,maria.oliveira@example.com,987.654.321-00,98.765.432-1,Rua B 456,Universidade Y,Medicina,200,123
Carlos Eduardo,carlos.eduardo@example.com,111.222.333-44,55.666.777-8,Rua C 789,Universidade Z,Direito,150,123
Ana Paula,ana.paula@example.com,222.333.444-55,66.777.888-9,Rua D 101,Universidade W,Arquitetura,180,123
Bruno Silva,bruno.silva@example.com,333.444.555-66,77.888.999-0,Rua E 202,Universidade V,Administração,120,123
Fernanda Costa,fernanda.costa@example.com,444.555.666-77,88.999.000-1,Rua F 303,Universidade U,Psicologia,160,123
Gabriel Souza,gabriel.souza@example.com,555.666.777-88,99.000.111-2,Rua G 404,Universidade T,Engenharia Civil,140,123
Juliana Pereira,juliana.pereira@example.com,666.777.888-99,00.111.222-3,Rua H 505,Universidade S,Enfermagem,130,123
Lucas Martins,lucas.martins@example.com,777.888.999-00,11.222.333-4,Rua I 606,Universidade R,Economia,170,123
Mariana Santos,mariana.santos@example.com,888.999.000-11,22.333.444-5,Rua J 707,Universidade Q,Design,190,123
